23;37;0;2
24;99;5;8
41;21;5;0
48;37;5;5
8;20;10;1
30;7;10;1
31;99;10;7
36;19;10;3
47;4;10;9
50;17;10;3
11;29;15;7
16;8;15;2
18;59;15;0
39;9;15;1
42;41;15;6
43;15;15;7
13;14;20;1
17;28;20;2
34;4;20;2
4;13;25;3
15;48;25;9
29;30;25;6
44;36;25;1
40;39;30;8
33;32;35;2
14;26;40;0
25;22;40;7
5;3;45;0
9;15;45;2
32;29;45;6
19;33;50;9
22;65;50;4
6;56;55;6
27;23;55;8
28;56;55;4
49;34;55;7
10;17;60;5
38;36;65;1
46;12;65;0
1;7;70;5
2;24;70;4
12;6;70;0
26;13;70;3
37;44;70;2
21;28;75;0
20;96;85;0
35;21;90;2
3;37;95;8
7;25;95;1
45;38;95;0
